ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_588	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_513	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_49	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_127	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_504	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_155	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_430	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_340	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_370	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_178	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_214	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_781	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus] gauvreauii group	unknown species
ASV_992	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus] gauvreauii group	unknown species
ASV_296	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus] gauvreauii group	unknown species
ASV_334	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus] gauvreauii group	unknown species
ASV_514	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus] gauvreauii group	unknown species
ASV_379	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus] gauvreauii group	unknown species
ASV_190	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus] gauvreauii group	unknown species
ASV_435	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_743	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_671	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_116	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_167	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_298	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_218	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_75	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_683	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_454	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	Multi-affiliation
ASV_378	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	Multi-affiliation
ASV_629	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_596	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_361	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_59	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_375	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_543	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_342	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-002	unknown species
ASV_1062	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] cellulosolvens group	[Eubacterium] cellulosolvens
ASV_933	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] cellulosolvens group	[Eubacterium] cellulosolvens 6
ASV_614	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Ruminococcus sp.
ASV_328	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	unknown species
ASV_868	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	unknown species
ASV_994	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus] gauvreauii group	unknown species
ASV_338	Bacteria	Firmicutes	Clostridia	Clostridiales	Multi-affiliation	Multi-affiliation	Multi-affiliation
ASV_352	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	unknown species
ASV_973	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Multi-affiliation	Multi-affiliation
ASV_1123	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnotalea	unknown species
ASV_267	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_520	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_754	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_854	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerosporobacter	unknown species
ASV_678	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerosporobacter	unknown species
ASV_1082	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerosporobacter	unknown species
ASV_498	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 2	unknown species
ASV_535	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] hallii group	Multi-affiliation
ASV_881	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] hallii group	unknown species
ASV_445	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] hallii group	unknown species
ASV_529	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] hallii group	unknown species
ASV_1100	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	unknown species
ASV_857	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_1086	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_1116	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_528	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 1	unknown species
ASV_1111	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 1	unknown species
ASV_475	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_428	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_163	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Multi-affiliation	Multi-affiliation
ASV_783	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cellulosilyticum	unknown species
ASV_748	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	Stenotrophobacter	unknown species
ASV_719	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-013	unknown species
ASV_417	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Saccharofermentans	Multi-affiliation
ASV_1023	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-009	unknown species
ASV_306	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-009	unknown species
ASV_343	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-009	unknown species
ASV_679	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-009	unknown species
ASV_1104	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-009	unknown species
ASV_323	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	unknown species
ASV_1180	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	unknown species
ASV_1012	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Multi-affiliation	Multi-affiliation
ASV_415	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	unknown species
ASV_1172	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	unknown species
ASV_458	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	unknown species
ASV_1142	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	unknown species
ASV_582	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-004	unknown species
ASV_767	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-004	unknown species
ASV_984	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_1094	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_443	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_954	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_607	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_478	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_1015	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] oxidoreducens group	unknown species
ASV_917	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_1054	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_1137	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_1002	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_1120	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_827	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_1033	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_780	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_967	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_1134	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_638	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_1092	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_829	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_1009	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_501	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_824	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_904	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_819	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_541	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_985	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_706	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_1063	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_688	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_1006	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_182	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_764	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_1019	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_981	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_889	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_575	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_418	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unknown genus	unknown species
ASV_202	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unknown genus	unknown species
ASV_194	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unknown genus	unknown species
ASV_696	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unknown genus	unknown species
ASV_697	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unknown genus	unknown species
ASV_404	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 9	unknown species
ASV_695	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	unknown species
ASV_867	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	unknown species
ASV_704	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	unknown species
ASV_536	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	unknown species
ASV_551	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unknown genus	unknown species
ASV_694	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unknown genus	unknown species
ASV_1043	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unknown genus	unknown species
ASV_446	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-002	unknown species
ASV_337	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-002	unknown species
ASV_308	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_1153	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_1191	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_1202	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_144	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_874	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_733	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_851	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_434	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_424	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_234	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_344	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_705	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_413	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_122	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_924	Bacteria	Firmicutes	Clostridia	Clostridiales	Multi-affiliation	Multi-affiliation	Multi-affiliation
ASV_157	Bacteria	Firmicutes	Clostridia	Clostridiales	Multi-affiliation	Multi-affiliation	Multi-affiliation
ASV_65	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_508	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_126	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_527	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_268	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_32	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_149	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_284	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_648	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_672	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
