MALAT1,TMSB4X,B2M,EEF1A1,ACTB,RPLP1,RPS27,MT-CO2,MTRNR2L1,RPS12,RPL10,MTRNR2L12,MT-CO1,RPL41,RPL13,RPS18,MTRNR2L8,TMSB10,RPL28,RPL13A,RPS19,RPL32,RPLP2,RPL21,RPL34,RPS27A,RPS29,RPL39,TPT1,RPS14,RPS6,RPS3,RPS4X,MT-CO3,HLA-B,GAPDH,RPS8,RPS15A,PFN1,RPL30,RPS3A,MT-ATP6,RPS2,RPL19,RPS23,RPL18A,RPL11,RPS28,HLA-A,MT-ND4L,RPL3,MT-ND3,PTMA,RPL37,RPL23A,CCL4,FTL,RPLP0,FTH1,RPS15,RPL12,RPS25,CCL5,RPL9,RPL27A,MT-ND4,JUNB,RPL35A,RPL29,RPS16,RPS24,HSP90AA1,RPL26,ACTG1,RPL8,RPS13,CXCL13,RPL18,RPSA,HLA-C,RPS7,RPL36,RPL15,RPL37A,RPS20,RPL31,RPL6,RPL7A,CD74,GZMB,RPL10A,RPS17,MT-ND2,DNAJB1,RPL14,RPS21,RPL7,RPL35,RPS9,GNLY
415.0,245.0,194.0,47.0,106.0,70.0,20.0,35.0,0.0,21.0,42.0,0.0,28.0,55.0,29.0,35.0,0.0,90.0,41.0,39.0,60.0,20.0,35.0,23.0,17.0,36.0,12.0,8.0,33.0,32.0,24.0,41.0,13.0,24.0,76.0,53.0,19.0,37.0,38.0,19.0,20.0,19.0,44.0,34.0,15.0,18.0,24.0,21.0,92.0,0.0,10.0,4.0,48.0,10.0,41.0,2.0,17.0,9.0,10.0,30.0,26.0,13.0,24.0,9.0,33.0,21.0,0.0,14.0,14.0,12.0,25.0,11.0,24.0,59.0,12.0,7.0,22.0,23.0,16.0,40.0,14.0,5.0,16.0,11.0,15.0,8.0,13.0,14.0,61.0,1.0,14.0,4.0,16.0,1.0,11.0,17.0,10.0,16.0,17.0,0.0
291.0,22.0,38.0,26.0,19.0,18.0,39.0,10.0,0.0,16.0,18.0,0.0,8.0,22.0,27.0,17.0,0.0,4.0,12.0,19.0,13.0,12.0,23.0,35.0,16.0,20.0,15.0,13.0,5.0,12.0,15.0,19.0,7.0,12.0,9.0,0.0,20.0,12.0,1.0,14.0,15.0,6.0,12.0,17.0,10.0,10.0,23.0,12.0,10.0,0.0,10.0,6.0,10.0,13.0,14.0,0.0,4.0,2.0,4.0,10.0,16.0,8.0,6.0,12.0,20.0,9.0,0.0,13.0,1.0,9.0,4.0,1.0,10.0,4.0,11.0,10.0,0.0,4.0,2.0,5.0,9.0,8.0,10.0,7.0,7.0,15.0,7.0,6.0,2.0,0.0,7.0,0.0,3.0,0.0,2.0,3.0,12.0,9.0,6.0,0.0
102.0,43.0,87.0,176.0,56.0,112.0,122.0,53.0,0.0,145.0,111.0,5.0,31.0,49.0,124.0,92.0,3.0,36.0,73.0,26.0,56.0,56.0,42.0,34.0,92.0,89.0,48.0,92.0,92.0,68.0,64.0,86.0,75.0,30.0,37.0,7.0,73.0,40.0,12.0,97.0,76.0,23.0,75.0,59.0,58.0,61.0,70.0,66.0,30.0,25.0,60.0,29.0,23.0,69.0,39.0,0.0,9.0,32.0,24.0,35.0,41.0,39.0,0.0,39.0,19.0,13.0,18.0,37.0,48.0,29.0,25.0,3.0,13.0,29.0,43.0,41.0,0.0,48.0,25.0,29.0,31.0,31.0,28.0,23.0,9.0,14.0,35.0,37.0,4.0,0.0,29.0,3.0,8.0,2.0,35.0,34.0,13.0,26.0,27.0,0.0
5.0,15.0,19.0,2.0,12.0,4.0,5.0,4.0,0.0,0.0,4.0,0.0,6.0,0.0,2.0,4.0,0.0,3.0,0.0,2.0,1.0,0.0,4.0,1.0,7.0,0.0,4.0,0.0,1.0,2.0,3.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,5.0,1.0,0.0,2.0,1.0,0.0,10.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,5.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0
173.0,99.0,52.0,7.0,27.0,24.0,23.0,5.0,0.0,5.0,20.0,0.0,33.0,14.0,7.0,18.0,0.0,16.0,6.0,15.0,13.0,14.0,15.0,5.0,14.0,10.0,13.0,13.0,12.0,6.0,9.0,5.0,9.0,14.0,20.0,6.0,3.0,12.0,6.0,8.0,12.0,4.0,9.0,8.0,10.0,10.0,7.0,9.0,9.0,3.0,7.0,8.0,18.0,4.0,9.0,2.0,7.0,2.0,2.0,7.0,4.0,7.0,9.0,6.0,12.0,8.0,0.0,7.0,6.0,3.0,2.0,1.0,6.0,9.0,7.0,2.0,0.0,3.0,4.0,8.0,7.0,2.0,3.0,5.0,2.0,7.0,6.0,5.0,5.0,0.0,5.0,0.0,10.0,0.0,4.0,4.0,0.0,5.0,5.0,7.0
13.0,21.0,23.0,2.0,21.0,12.0,6.0,6.0,0.0,4.0,4.0,0.0,8.0,4.0,6.0,2.0,0.0,15.0,3.0,5.0,2.0,1.0,1.0,0.0,3.0,2.0,2.0,4.0,2.0,2.0,5.0,3.0,2.0,5.0,18.0,3.0,2.0,4.0,6.0,1.0,2.0,6.0,3.0,1.0,2.0,2.0,8.0,6.0,3.0,0.0,1.0,8.0,6.0,5.0,1.0,0.0,0.0,2.0,3.0,4.0,1.0,0.0,2.0,1.0,1.0,9.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0,1.0,0.0,2.0,14.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,7.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0
71.0,193.0,156.0,291.0,193.0,301.0,35.0,169.0,0.0,166.0,130.0,30.0,96.0,57.0,129.0,152.0,1.0,144.0,117.0,26.0,90.0,76.0,58.0,58.0,27.0,92.0,9.0,56.0,76.0,61.0,117.0,126.0,85.0,70.0,36.0,90.0,130.0,48.0,172.0,68.0,106.0,59.0,67.0,86.0,97.0,109.0,81.0,42.0,23.0,83.0,84.0,11.0,63.0,40.0,53.0,0.0,29.0,134.0,40.0,64.0,71.0,53.0,2.0,86.0,25.0,11.0,9.0,34.0,75.0,54.0,77.0,45.0,9.0,52.0,90.0,71.0,15.0,73.0,108.0,23.0,72.0,49.0,66.0,29.0,10.0,18.0,69.0,69.0,42.0,0.0,55.0,11.0,12.0,110.0,59.0,27.0,23.0,52.0,53.0,0.0
37.0,34.0,65.0,18.0,13.0,8.0,13.0,12.0,0.0,6.0,10.0,0.0,11.0,9.0,8.0,2.0,0.0,8.0,8.0,10.0,6.0,9.0,4.0,3.0,8.0,6.0,0.0,5.0,6.0,8.0,3.0,8.0,8.0,6.0,12.0,2.0,3.0,8.0,6.0,3.0,2.0,3.0,6.0,3.0,0.0,9.0,5.0,4.0,22.0,1.0,8.0,2.0,3.0,4.0,11.0,0.0,1.0,1.0,8.0,2.0,4.0,5.0,0.0,4.0,3.0,9.0,4.0,4.0,5.0,5.0,1.0,5.0,6.0,0.0,1.0,5.0,0.0,3.0,2.0,11.0,3.0,7.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,0.0,1.0,3.0,6.0,6.0,6.0,1.0,7.0,2.0,4.0,0.0
51.0,14.0,35.0,5.0,24.0,14.0,5.0,17.0,0.0,3.0,8.0,0.0,29.0,9.0,3.0,2.0,0.0,14.0,4.0,6.0,5.0,2.0,6.0,3.0,2.0,3.0,8.0,0.0,4.0,2.0,6.0,4.0,3.0,16.0,15.0,8.0,3.0,1.0,4.0,1.0,2.0,2.0,3.0,5.0,3.0,2.0,3.0,2.0,5.0,0.0,5.0,1.0,9.0,3.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,8.0,0.0,3.0,3.0,4.0,1.0,4.0,1.0,4.0,0.0,3.0,0.0,2.0,3.0,12.0,5.0,4.0,1.0,2.0,1.0,4.0,3.0,3.0,6.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,0.0
145.0,45.0,61.0,14.0,10.0,19.0,25.0,12.0,0.0,10.0,22.0,0.0,24.0,23.0,17.0,8.0,0.0,6.0,5.0,14.0,9.0,7.0,17.0,11.0,8.0,4.0,7.0,5.0,12.0,8.0,6.0,7.0,9.0,7.0,7.0,1.0,8.0,9.0,4.0,7.0,6.0,2.0,9.0,5.0,6.0,5.0,5.0,7.0,24.0,0.0,9.0,9.0,7.0,6.0,15.0,3.0,11.0,1.0,3.0,3.0,9.0,5.0,6.0,7.0,10.0,5.0,0.0,4.0,6.0,6.0,6.0,3.0,8.0,8.0,2.0,7.0,0.0,6.0,6.0,14.0,1.0,5.0,3.0,4.0,5.0,5.0,5.0,7.0,9.0,0.0,2.0,3.0,12.0,0.0,5.0,1.0,5.0,3.0,2.0,3.0
71.0,22.0,46.0,10.0,8.0,10.0,18.0,4.0,0.0,3.0,9.0,0.0,19.0,12.0,6.0,9.0,0.0,1.0,3.0,6.0,12.0,6.0,8.0,14.0,20.0,19.0,26.0,11.0,3.0,10.0,2.0,13.0,5.0,4.0,8.0,1.0,3.0,17.0,1.0,5.0,14.0,1.0,7.0,4.0,4.0,5.0,5.0,4.0,2.0,0.0,5.0,1.0,10.0,1.0,6.0,0.0,6.0,1.0,9.0,3.0,4.0,5.0,2.0,5.0,8.0,3.0,15.0,10.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,1.0,0.0,3.0,2.0,3.0,0.0,8.0,4.0,4.0,1.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,3.0,17.0,3.0,3.0,0.0
16.0,0.0,21.0,1.0,3.0,3.0,7.0,8.0,0.0,3.0,1.0,0.0,8.0,0.0,4.0,1.0,0.0,1.0,7.0,2.0,4.0,6.0,9.0,3.0,2.0,4.0,4.0,0.0,3.0,3.0,4.0,1.0,2.0,6.0,7.0,0.0,2.0,0.0,0.0,2.0,3.0,9.0,1.0,2.0,5.0,3.0,2.0,2.0,1.0,0.0,4.0,11.0,0.0,4.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,8.0,1.0,6.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0
126.0,50.0,61.0,10.0,52.0,18.0,18.0,5.0,0.0,3.0,15.0,0.0,25.0,12.0,8.0,4.0,0.0,39.0,7.0,7.0,8.0,8.0,4.0,6.0,3.0,6.0,18.0,6.0,4.0,7.0,3.0,4.0,2.0,15.0,25.0,4.0,5.0,11.0,8.0,1.0,12.0,7.0,8.0,4.0,2.0,5.0,5.0,10.0,23.0,0.0,5.0,3.0,1.0,8.0,4.0,1.0,3.0,0.0,3.0,7.0,6.0,5.0,33.0,3.0,2.0,3.0,0.0,3.0,0.0,5.0,5.0,2.0,5.0,13.0,4.0,4.0,15.0,2.0,5.0,11.0,1.0,3.0,8.0,1.0,1.0,4.0,4.0,3.0,19.0,12.0,2.0,1.0,3.0,0.0,1.0,1.0,4.0,5.0,8.0,0.0
15.0,17.0,19.0,0.0,4.0,7.0,8.0,2.0,0.0,4.0,8.0,1.0,13.0,2.0,7.0,1.0,0.0,1.0,4.0,2.0,6.0,0.0,4.0,2.0,4.0,2.0,3.0,0.0,10.0,1.0,1.0,1.0,4.0,11.0,8.0,5.0,3.0,0.0,3.0,2.0,1.0,6.0,2.0,0.0,1.0,5.0,3.0,3.0,9.0,1.0,3.0,5.0,3.0,12.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,1.0,1.0,0.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,7.0,2.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,4.0,0.0
21.0,4.0,6.0,4.0,2.0,3.0,7.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,11.0,2.0,0.0,4.0,0.0,5.0,6.0,2.0,8.0,2.0,2.0,1.0,4.0,1.0,9.0,8.0,2.0,5.0,2.0,13.0,5.0,0.0,9.0,6.0,3.0,2.0,0.0,3.0,2.0,2.0,4.0,3.0,1.0,2.0,0.0,0.0,2.0,5.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,4.0,10.0,3.0,0.0,2.0,0.0,2.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,3.0,1.0,6.0,0.0,0.0
12.0,3.0,1.0,4.0,4.0,5.0,9.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,4.0,6.0,0.0,1.0,6.0,11.0,4.0,7.0,3.0,1.0,8.0,5.0,5.0,10.0,10.0,0.0,6.0,2.0,1.0,6.0,5.0,1.0,4.0,6.0,1.0,8.0,4.0,2.0,1.0,4.0,1.0,0.0,8.0,3.0,6.0,0.0,2.0,2.0,0.0,7.0,2.0,0.0,0.0,4.0,1.0,4.0,1.0,8.0,0.0,5.0,6.0,3.0,3.0,2.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,8.0,0.0,6.0,3.0,0.0,1.0,5.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,4.0,0.0,3.0,6.0,0.0
386.0,69.0,81.0,57.0,19.0,90.0,92.0,11.0,0.0,63.0,47.0,0.0,36.0,51.0,49.0,60.0,0.0,23.0,31.0,42.0,32.0,41.0,46.0,39.0,34.0,33.0,58.0,24.0,24.0,30.0,35.0,24.0,27.0,22.0,9.0,1.0,24.0,32.0,3.0,33.0,36.0,15.0,29.0,32.0,20.0,32.0,30.0,41.0,11.0,1.0,29.0,12.0,10.0,32.0,39.0,0.0,3.0,17.0,6.0,22.0,21.0,24.0,0.0,20.0,29.0,15.0,1.0,31.0,12.0,21.0,12.0,1.0,15.0,4.0,11.0,12.0,0.0,10.0,20.0,12.0,13.0,21.0,21.0,18.0,27.0,18.0,18.0,17.0,4.0,0.0,18.0,26.0,13.0,0.0,16.0,20.0,10.0,19.0,18.0,0.0
27.0,7.0,9.0,0.0,5.0,2.0,5.0,7.0,0.0,1.0,4.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,1.0,3.0,5.0,0.0,10.0,4.0,4.0,3.0,6.0,11.0,4.0,0.0,0.0,2.0,1.0,3.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0
77.0,97.0,113.0,49.0,18.0,55.0,38.0,20.0,0.0,28.0,15.0,1.0,50.0,29.0,30.0,15.0,0.0,33.0,23.0,31.0,20.0,23.0,21.0,33.0,35.0,18.0,27.0,25.0,18.0,17.0,17.0,28.0,14.0,18.0,7.0,5.0,26.0,24.0,1.0,20.0,27.0,17.0,23.0,14.0,11.0,20.0,23.0,21.0,28.0,1.0,23.0,13.0,13.0,14.0,22.0,0.0,1.0,4.0,21.0,22.0,12.0,13.0,0.0,12.0,16.0,23.0,0.0,12.0,13.0,12.0,6.0,3.0,20.0,6.0,13.0,10.0,0.0,13.0,11.0,13.0,11.0,11.0,27.0,22.0,16.0,16.0,17.0,13.0,3.0,0.0,13.0,16.0,14.0,0.0,9.0,17.0,16.0,15.0,11.0,0.0
141.0,30.0,36.0,3.0,8.0,6.0,20.0,2.0,0.0,8.0,18.0,0.0,5.0,24.0,8.0,6.0,0.0,5.0,7.0,13.0,5.0,5.0,3.0,5.0,6.0,7.0,6.0,4.0,2.0,16.0,7.0,9.0,5.0,9.0,6.0,3.0,4.0,4.0,4.0,9.0,4.0,4.0,8.0,1.0,6.0,3.0,7.0,5.0,3.0,0.0,10.0,2.0,6.0,1.0,6.0,0.0,7.0,1.0,2.0,8.0,3.0,3.0,5.0,2.0,5.0,2.0,27.0,3.0,4.0,4.0,6.0,3.0,4.0,4.0,4.0,5.0,0.0,3.0,1.0,5.0,3.0,9.0,7.0,4.0,2.0,6.0,4.0,2.0,1.0,0.0,3.0,2.0,4.0,7.0,1.0,4.0,6.0,2.0,8.0,0.0
