ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1154	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium 1	Multi-affiliation
ASV_1204	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
ASV_800	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	unknown species
ASV_354	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Multi-affiliation
ASV_660	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-013	unknown species
ASV_187	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Multi-affiliation
ASV_686	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	unknown species
ASV_1024	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XIII	S5-A14a	unknown species
ASV_1086	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_486	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-013	unknown species
ASV_811	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Multi-affiliation	Multi-affiliation
ASV_435	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_359	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	SN8	Multi-affiliation
ASV_176	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	Multi-affiliation
ASV_726	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella sp.
ASV_874	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_23	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Kurthia	unknown species
ASV_133	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Multi-affiliation
ASV_476	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	unknown species
ASV_672	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_221	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Multi-affiliation	Multi-affiliation
ASV_40	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Multi-affiliation
ASV_763	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	unknown species
ASV_845	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Multi-affiliation
ASV_801	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	unknown species
ASV_903	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Neisseriaceae	Alysiella	Multi-affiliation
ASV_665	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Multi-affiliation
ASV_475	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_392	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Helcococcus	Multi-affiliation
ASV_498	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 2	unknown species
ASV_72	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Multi-affiliation
ASV_764	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_1207	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium	Multi-affiliation
ASV_289	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Multi-affiliation
ASV_632	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Multi-affiliation
ASV_9	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Multi-affiliation
ASV_493	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	unknown species
ASV_259	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Multi-affiliation
ASV_67	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Comamonas	unknown species
ASV_329	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	unknown species
ASV_623	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio casei
ASV_292	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Multi-affiliation	Multi-affiliation
ASV_269	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter corcagiensis
ASV_914	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Multi-affiliation
ASV_1023	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-009	unknown species
ASV_58	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	Multi-affiliation
ASV_201	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_625	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 2	unknown species
ASV_146	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	Multi-affiliation
ASV_802	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea	unknown species
ASV_1010	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Multi-affiliation	Multi-affiliation
ASV_1103	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	Multi-affiliation
ASV_1038	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Multi-affiliation
ASV_803	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 2	unknown species
ASV_828	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unknown genus	unknown species
ASV_27	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Multi-affiliation
ASV_202	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unknown genus	unknown species
ASV_1021	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Multi-affiliation
ASV_562	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio gandavensis
ASV_320	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerosphaera	Multi-affiliation
ASV_1124	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	unknown genus	unknown species
ASV_996	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Multi-affiliation	Multi-affiliation
ASV_117	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Multi-affiliation
ASV_427	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Laceyella	Multi-affiliation
ASV_779	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Multi-affiliation
ASV_721	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alloiococcus	bacterium #1 from Psoroptes ovis
ASV_73	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Multi-affiliation	Multi-affiliation
ASV_86	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	unknown species
ASV_528	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 1	unknown species
ASV_12	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Multi-affiliation
ASV_54	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Multi-affiliation
ASV_1141	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Multi-affiliation
ASV_461	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Multi-affiliation
ASV_850	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-013	unknown species
ASV_1170	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Multi-affiliation
ASV_563	Bacteria	Firmicutes	Bacilli	Bacillales	Multi-affiliation	Multi-affiliation	Multi-affiliation
ASV_1114	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unknown genus	unknown species
ASV_1147	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Multi-affiliation
ASV_158	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Multi-affiliation
ASV_549	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae UCG-009	unknown species
ASV_798	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Multi-affiliation	Multi-affiliation
ASV_631	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Multi-affiliation	Multi-affiliation
ASV_81	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Multi-affiliation
ASV_501	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_814	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Multi-affiliation
ASV_279	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	unknown species
ASV_670	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	unknown species
ASV_1033	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_756	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	unknown species
ASV_264	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_1040	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces cardiffensis F0333
ASV_894	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Multi-affiliation
ASV_315	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unknown species
ASV_827	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_478	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_22	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	Multi-affiliation
ASV_372	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Helcococcus	Helcococcus ovis
ASV_695	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	unknown species
ASV_1180	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	unknown species
ASV_82	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Multi-affiliation
ASV_306	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-009	unknown species
ASV_423	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Multi-affiliation
ASV_582	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-004	unknown species
ASV_459	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_211	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Marinospirillum	Multi-affiliation
ASV_87	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Multi-affiliation	Multi-affiliation
ASV_468	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	unknown species
ASV_790	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	unknown species
ASV_47	Bacteria	Firmicutes	Clostridia	Clostridiales	Multi-affiliation	Multi-affiliation	Multi-affiliation
ASV_317	Bacteria	Firmicutes	Bacilli	Lactobacillales	Multi-affiliation	Multi-affiliation	Multi-affiliation
ASV_830	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	Multi-affiliation
ASV_460	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus inopinatus
ASV_209	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae FCS020 group	unknown species
ASV_179	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Multi-affiliation
ASV_222	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	Multi-affiliation
ASV_70	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Multi-affiliation
ASV_741	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-013	unknown species
ASV_163	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Multi-affiliation	Multi-affiliation
ASV_1166	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Neisseriaceae	Alysiella	Multi-affiliation
ASV_603	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Multi-affiliation
ASV_907	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	unknown species
ASV_267	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_349	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus cellicola
ASV_113	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	unknown species
ASV_2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Multi-affiliation
ASV_550	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 2	unknown species
ASV_11	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Multi-affiliation
ASV_61	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Multi-affiliation
ASV_217	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermatophilaceae	Mobilicoccus	Mobilicoccus sp.
ASV_875	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Multi-affiliation
ASV_95	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Multi-affiliation
ASV_820	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Multi-affiliation
ASV_268	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_457	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Multi-affiliation	Multi-affiliation
ASV_799	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	unknown species
ASV_630	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	unknown species
ASV_391	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Jeotgalibaca	Multi-affiliation
ASV_324	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Multi-affiliation
ASV_868	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	unknown species
ASV_208	Bacteria	Actinobacteria	Actinobacteria	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
ASV_840	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	unknown species
ASV_178	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_749	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Multi-affiliation
ASV_1162	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Multi-affiliation
ASV_974	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium 1	Corynebacterium variabile
ASV_312	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_742	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	unknown species
ASV_640	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Paucibacter	unknown species
ASV_772	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Multi-affiliation
ASV_916	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Multi-affiliation
ASV_116	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group	unknown species
ASV_592	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	Multi-affiliation
ASV_170	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Multi-affiliation	Multi-affiliation
ASV_612	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Multi-affiliation
ASV_649	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	unknown species
ASV_734	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Bordetella	Achromobacter sp.
ASV_824	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_1183	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
ASV_229	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	unknown species
ASV_140	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Glutamicibacter	Multi-affiliation
ASV_462	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Multi-affiliation
ASV_896	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Multi-affiliation
ASV_1137	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	unknown species
ASV_380	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Multi-affiliation	Multi-affiliation
ASV_157	Bacteria	Firmicutes	Clostridia	Clostridiales	Multi-affiliation	Multi-affiliation	Multi-affiliation
ASV_29	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Multi-affiliation
ASV_611	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	unknown genus	unknown species
ASV_553	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	unknown species
ASV_1025	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Multi-affiliation
ASV_232	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	unknown species
ASV_1116	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknown genus	unknown species
ASV_19	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Multi-affiliation
ASV_433	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium 5	Multi-affiliation
ASV_1195	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Multi-affiliation
ASV_91	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	unknown species
ASV_997	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-001	unknown species
ASV_698	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Multi-affiliation	Multi-affiliation
ASV_1157	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Multi-affiliation
ASV_538	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Multi-affiliation
ASV_1168	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	Multi-affiliation
ASV_129	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Hafnia-Obesumbacterium	Multi-affiliation
ASV_707	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 1	unknown species
ASV_250	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	unknown genus	unknown species
ASV_1004	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XIII	[Eubacterium] nodatum group	unknown species
ASV_164	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum	unknown species
ASV_350	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	unknown species
ASV_647	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ottowia	Ottowia sp.
ASV_859	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XIII	Family XIII UCG-001	unknown species
ASV_271	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	unknown species
ASV_6	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Multi-affiliation
ASV_1126	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Achromobacter	Multi-affiliation
ASV_931	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	unknown species
ASV_509	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-013	unknown species
ASV_452	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerosphaera	Multi-affiliation
ASV_1201	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	unknown genus	unknown species
