"","Offset"
"L31A_plus_M1",19410
"L34A_minus_M1",6282
"L37B_minus_M1",16071
"L40B_plus_M1",14328
"L40C_plus_M1",6177
"L43C_plus_M1",6159
"L40D_plus_M1",12205
"L43D_plus_M1",4495
"L41A_plus_M1",23675
"L44A_plus_M1",21532
"L41B_plus_M1",11511
"L44B_plus_M1",9064
"L41C_plus_M1",19624
"L44C_plus_M1",19628
"L41D_plus_M1",23852
"L44D_plus_M1",19616
"L42A_plus_M1",23708
"L42B_plus_M1",28700
"L42C_plus_M1",11887
"L42D_plus_M1",21090
"L43A_plus_M1",11915
"L43B_plus_M1",22426
"B1_minus_S1",38827
"B16_plus_S1",10249
"B40_plus_S1",22256
"N11_plus_S1",54061
"N23_minus_S1",53998
"N35_minus_S1",14048
"V21_minus_S1",7554
"B17_plus_S1",6496
"B41_plus_S1",8126
"N12_plus_S1",40874
"N24_minus_S1",39927
"N36_minus_S1",40666
"V22_minus_S1",10619
"B3_minus_S1",9577
"B18_plus_S1",11914
"B30_plus_S1",6829
"B43_plus_S1",1571
"N13_plus_S1",27473
"N25_plus_S1",28557
"N37_minus_S1",46570
"V23_minus_S1",16583
"B19_minus_S1",39231
"B44_plus_S1",3866
"N14_plus_S1",66936
"N26_plus_S1",15276
"N38_minus_S1",39060
"V24_minus_S1",2812
"B20_minus_S1",35753
"B45_plus_S1",38859
"N15_plus_S1",35162
"N27_plus_S1",34181
"N39_minus_S1",28583
"V25_plus_S1",10919
"B9_plus_S1",34244
"N1_minus_S1",37653
"N16_plus_S1",60514
"N28_plus_S1",21982
"N40_plus_S1",15024
"V26_plus_S1",13507
"B10_plus_S1",3293
"B22_minus_S1",1525
"B34_minus_S1",20566
"N2_minus_S1",37428
"N17_plus_S1",48731
"N29_plus_S1",29367
"N41_plus_S1",36790
"V27_plus_S1",38123
"B11_plus_S1",8132
"N3_minus_S1",19137
"N18_plus_S1",42924
"N30_plus_S1",29599
"N43_plus_S1",35588
"V28_plus_S1",10081
"B12_plus_S1",4738
"B24_minus_S1",4161
"B36_minus_S1",56645
"N5_minus_S1",38329
"N19_minus_S1",54543
"N31_plus_S1",33982
"N44_plus_S1",29818
"V29_plus_S1",25103
"B13_plus_S1",16841
"B25_plus_S1",5704
"B37_minus_S1",7851
"N6_minus_S1",70385
"N20_minus_S1",29139
"N32_plus_S1",47419
"N45_plus_S1",33342
"V30_plus_S1",39329
"B26_plus_S1",48504
"B38_minus_S1",20339
"N9_plus_S1",32339
"N21_minus_S1",31489
"N33_minus_S1",59546
"V31_plus_S1",16281
"B39_minus_S1",49989
"N10_plus_S1",7053
"N22_minus_S1",30518
"N34_minus_S1",47177
"V20_minus_S1",39043
"V32_plus_S1",44212
"V34_minus_S1",8724
"V36_minus_S1",32918
"V39_minus_S1",17421
"V41_plus_S1",12685
"V43_plus_S1",1323
"V44_plus_S1",6595
"V45_plus_S1",36568
"B1_minus_M3",21393
"B13_plus_M3",31356
"B25_plus_M3",15783
"B37_minus_M3",22554
"N5_minus_M3",17995
"N17_plus_M3",33846
"N29_plus_M3",26745
"N41_plus_M3",13158
"B2_minus_M3",16042
"B14_plus_M3",8210
"B26_plus_M3",13075
"B38_minus_M3",34123
"N6_minus_M3",25478
"N18_plus_M3",21544
"N30_plus_M3",32440
"N42_plus_M3",25140
"B3_minus_M3",36777
"B15_plus_M3",3863
"B27_plus_M3",25815
"N7_minus_M3",13637
"N19_minus_M3",26107
"N31_plus_M3",36494
"N43_plus_M3",27797
"B4_minus_M3",43399
"B16_plus_M3",18737
"B40_plus_M3",2282
"N8_plus_M3",14421
"N20_minus_M3",27746
"N32_plus_M3",27665
"N44_plus_M3",30599
"B5_minus_M3",29844
"B17_plus_M3",12567
"B29_plus_M3",7238
"B41_plus_M3",13199
"N9_plus_M3",5483
"N21_minus_M3",31437
"N33_minus_M3",37082
"V1_minus_M3",12432
"B6_minus_M3",5224
"B18_plus_M3",28526
"B30_plus_M3",19387
"B42_plus_M3",2315
"N10_plus_M3",3716
"N22_minus_M3",33446
"N34_minus_M3",16431
"V2_minus_M3",2457
"B7_minus_M3",21519
"B19_minus_M3",3684
"B31_plus_M3",2226
"B43_plus_M3",8810
"N11_plus_M3",5509
"N23_minus_M3",18144
"V3_minus_M3",21500
"B8_plus_M3",37889
"B20_minus_M3",38227
"B32_plus_M3",18556
"B44_plus_M3",2993
"N12_plus_M3",16287
"N24_minus_M3",35991
"N36_minus_M3",23746
"V4_minus_M3",32948
"B9_plus_M3",39758
"B21_minus_M3",32551
"B33_minus_M3",1942
"N1_minus_M3",17796
"N13_plus_M3",11247
"N25_plus_M3",13462
"N37_minus_M3",46090
"V5_minus_M3",18723
"B10_plus_M3",21288
"B22_minus_M3",1224
"B34_minus_M3",2291
"N2_minus_M3",10475
"N14_plus_M3",6697
"N26_plus_M3",18351
"N38_minus_M3",17872
"V6_minus_M3",3437
"B11_plus_M3",14104
"B35_minus_M3",20759
"N3_minus_M3",2681
"N15_plus_M3",49968
"N27_plus_M3",30311
"N39_minus_M3",8504
"V7_minus_M3",13920
"B12_plus_M3",31796
"B24_minus_M3",11242
"B36_minus_M3",8071
"N4_minus_M3",8330
"N16_plus_M3",5487
"N28_plus_M3",48762
"N40_plus_M3",41569
"V9_plus_M3",2902
"V21_minus_M3",2016
"V33_minus_M3",3417
"L1A_minus_M3",3227
"L4A_minus_M3",1231
"L7A_minus_M3",23693
"L10A_plus_M3",9900
"L13A_plus_M3",1148
"V10_plus_M3",4211
"V22_minus_M3",19635
"V34_minus_M3",16244
"L1B_minus_M3",3742
"L4B_minus_M3",1378
"L7B_minus_M3",16056
"L10B_plus_M3",4829
"V11_plus_M3",13975
"V23_minus_M3",1694
"V35_minus_M3",19486
"L1C_minus_M3",9546
"L7C_minus_M3",8626
"L10C_plus_M3",10353
"L13C_plus_M3",15117
"V12_plus_M3",15435
"V36_minus_M3",6762
"L1D_minus_M3",3971
"L7D_minus_M3",9918
"L10D_plus_M3",10671
"L13D_plus_M3",2119
"V13_plus_M3",5345
"V25_plus_M3",31794
"V37_minus_M3",4805
"L2A_minus_M3",11219
"L5A_minus_M3",2258
"L11A_plus_M3",6603
"L14A_plus_M3",32113
"V14_plus_M3",13110
"V26_plus_M3",5975
"V38_minus_M3",12043
"L2B_minus_M3",1148
"L5B_minus_M3",13635
"L8B_plus_M3",4906
"L11B_plus_M3",16861
"L14B_plus_M3",15070
"V15_plus_M3",3318
"V27_plus_M3",28500
"V39_minus_M3",43045
"L5C_minus_M3",9323
"L8C_plus_M3",3882
"L11C_plus_M3",4034
"L14C_plus_M3",13167
"V28_plus_M3",10015
"V40_plus_M3",15825
"L2D_minus_M3",8700
"L5D_minus_M3",10114
"L8D_plus_M3",24201
"V17_plus_M3",4556
"V29_plus_M3",20886
"V41_plus_M3",26102
"L6A_minus_M3",8250
"L9A_plus_M3",2460
"L15A_plus_M3",13784
"V18_plus_M3",16910
"V30_plus_M3",20324
"V42_plus_M3",23398
"L3B_minus_M3",2355
"L6B_minus_M3",32054
"V19_minus_M3",14727
"V31_plus_M3",28128
"V43_plus_M3",1724
"L3C_minus_M3",6895
"L12C_plus_M3",2012
"L15C_plus_M3",4759
"V20_minus_M3",21382
"V32_plus_M3",71881
"V44_plus_M3",38900
"L3D_minus_M3",5034
"L6D_minus_M3",1960
"L9D_plus_M3",31695
"L12D_plus_M3",6231
"L16A_plus_M3",8433
"L19A_minus_M3",13063
"L25A_plus_M3",2334
"L28A_plus_M3",4906
"L31A_plus_M3",3485
"L34A_minus_M3",15226
"L37A_minus_M3",6350
"L19B_minus_M3",1010
"L22B_minus_M3",2878
"L25B_plus_M3",4693
"L28B_plus_M3",3373
"L31B_plus_M3",6501
"L34B_minus_M3",2092
"L37B_minus_M3",10575
"L19C_minus_M3",21935
"L22C_minus_M3",4550
"L25C_plus_M3",8085
"L28C_plus_M3",2725
"L31C_plus_M3",10272
"L34C_minus_M3",3733
"L37C_minus_M3",1840
"L19D_minus_M3",22508
"L22D_minus_M3",16886
"L25D_plus_M3",19790
"L28D_plus_M3",2796
"L31D_plus_M3",7346
"L34D_minus_M3",3861
"L37D_minus_M3",11751
"L17A_plus_M3",12569
"L20A_minus_M3",1179
"L26A_plus_M3",4101
"L29A_plus_M3",10705
"L32A_plus_M3",5388
"L38A_minus_M3",5101
"L17B_plus_M3",28748
"L23B_minus_M3",2458
"L26B_plus_M3",15063
"L29B_plus_M3",2788
"L32B_plus_M3",4531
"L35B_minus_M3",4523
"L38B_minus_M3",8491
"L17C_plus_M3",12470
"L20C_minus_M3",2924
"L26C_plus_M3",13353
"L29C_plus_M3",8688
"L32C_plus_M3",18420
"L35C_minus_M3",7061
"L38C_minus_M3",3299
"L17D_plus_M3",37518
"L23D_minus_M3",8632
"L26D_plus_M3",28027
"L29D_plus_M3",9011
"L32D_plus_M3",2494
"L35D_minus_M3",39427
"L38D_minus_M3",3650
"L18A_plus_M3",1359
"L21A_minus_M3",38335
"L24A_minus_M3",7719
"L27A_plus_M3",4508
"L36A_minus_M3",2040
"L39A_minus_M3",17551
"L18B_plus_M3",4801
"L21B_minus_M3",35299
"L24B_minus_M3",4024
"L27B_plus_M3",15511
"L30B_plus_M3",1062
"L33B_minus_M3",4580
"L36B_minus_M3",19893
"L39C_minus_M3",9837
"L18C_plus_M3",6340
"L21C_minus_M3",10156
"L24C_minus_M3",2934
"L27C_plus_M3",21156
"L33C_minus_M3",28539
"L39D_minus_M3",30298
"L18D_plus_M3",22185
"L21D_minus_M3",5637
"L24D_minus_M3",2606
"L27D_plus_M3",2230
"L30D_plus_M3",9394
"L33D_minus_M3",8468
"L36D_minus_M3",12638
"L40B_plus_M3",16113
"L43B_plus_M3",1432
"V8_plus_M3",31070
"L40C_plus_M3",4517
"L43C_plus_M3",1243
"L40D_plus_M3",2748
"L43D_plus_M3",2178
"L40A_plus_M3",2073
"L41A_plus_M3",1389
"L44A_plus_M3",8599
"L41B_plus_M3",13210
"L41C_plus_M3",13992
"L44C_plus_M3",2443
"L41D_plus_M3",3289
"L44D_plus_M3",2887
"L42A_plus_M3",3493
"L42B_plus_M3",5530
"L43A_plus_M3",4673
"B1_minus_M7",2551
"B13_plus_M7",4053
"B25_plus_M7",2174
"N6_minus_M7",3636
"N30_plus_M7",1461
"N43_plus_M7",2502
"B2_minus_M7",4800
"B14_plus_M7",1781
"B26_plus_M7",6657
"B38_minus_M7",11399
"N7_minus_M7",1868
"N19_minus_M7",2933
"N31_plus_M7",6096
"B3_minus_M7",3094
"B27_plus_M7",3095
"B40_plus_M7",11882
"N8_plus_M7",3804
"N20_minus_M7",2837
"N32_plus_M7",2452
"V1_minus_M7",1038
"B4_minus_M7",1381
"B16_plus_M7",3565
"B28_plus_M7",1660
"B41_plus_M7",6807
"N9_plus_M7",1403
"N21_minus_M7",3868
"N33_minus_M7",5287
"V2_minus_M7",3653
"B5_minus_M7",2462
"B17_plus_M7",1994
"B29_plus_M7",7502
"B42_plus_M7",5344
"N10_plus_M7",3877
"N22_minus_M7",2078
"N34_minus_M7",1037
"V3_minus_M7",3942
"B6_minus_M7",1036
"B18_plus_M7",4000
"B30_plus_M7",7727
"B43_plus_M7",4619
"N23_minus_M7",3450
"N35_minus_M7",1649
"V4_minus_M7",3821
"B7_minus_M7",2910
"B19_minus_M7",2474
"B44_plus_M7",5710
"N24_minus_M7",3568
"V5_minus_M7",6764
"B8_plus_M7",2423
"B32_plus_M7",1383
"N1_minus_M7",2989
"N25_plus_M7",1224
"N37_minus_M7",3611
"V6_minus_M7",5985
"B9_plus_M7",1616
"B21_minus_M7",1139
"B33_minus_M7",5638
"N2_minus_M7",1035
"N14_plus_M7",4863
"N26_plus_M7",4614
"N38_minus_M7",1149
"B22_minus_M7",1126
"B34_minus_M7",8438
"N3_minus_M7",1687
"N15_plus_M7",2796
"N27_plus_M7",1943
"B11_plus_M7",3222
"B23_minus_M7",2904
"B35_minus_M7",4973
"N4_minus_M7",2128
"N28_plus_M7",4537
"N41_plus_M7",1911
"V9_plus_M7",4193
"B12_plus_M7",3661
"B24_minus_M7",2748
"B36_minus_M7",8928
"N5_minus_M7",2013
"N17_plus_M7",3029
"N29_plus_M7",2635
"N42_plus_M7",1261
"L2A_minus_M7",6378
"L5A_minus_M7",1920
"L14A_plus_M7",4756
"V12_plus_M7",4871
"V25_plus_M7",2270
"V37_minus_M7",2328
"L2B_minus_M7",2269
"L5B_minus_M7",9400
"L11B_plus_M7",2611
"L14B_plus_M7",5020
"V26_plus_M7",1155
"L2C_minus_M7",6558
"L5C_minus_M7",1195
"L11C_plus_M7",1445
"L14C_plus_M7",5916
"V14_plus_M7",5922
"V27_plus_M7",6787
"L2D_minus_M7",4033
"L5D_minus_M7",5369
"L8D_plus_M7",1454
"L14D_plus_M7",1257
"V15_plus_M7",2795
"V28_plus_M7",6275
"V41_plus_M7",10039
"L3A_minus_M7",6945
"L6A_minus_M7",8547
"L9A_plus_M7",1003
"L12A_plus_M7",5395
"L15A_plus_M7",1345
"V16_plus_M7",3656
"V29_plus_M7",2124
"V42_plus_M7",5363
"L3B_minus_M7",3047
"L6B_minus_M7",2690
"L12B_plus_M7",8410
"L15B_plus_M7",2798
"V17_plus_M7",1380
"V30_plus_M7",2391
"L3C_minus_M7",4234
"L6C_minus_M7",1668
"L9C_plus_M7",2959
"L12C_plus_M7",5085
"L15C_plus_M7",3082
"V31_plus_M7",7584
"L6D_minus_M7",12165
"L9D_plus_M7",5216
"L12D_plus_M7",2882
"L15D_plus_M7",3858
"V19_minus_M7",1206
"V32_plus_M7",6279
"L1A_minus_M7",2259
"L7A_minus_M7",1869
"L10A_plus_M7",4315
"L13A_plus_M7",1075
"L16A_plus_M7",3499
"V20_minus_M7",4787
"V33_minus_M7",1107
"L1B_minus_M7",2314
"L4B_minus_M7",3029
"L7B_minus_M7",1604
"L10B_plus_M7",2703
"L13B_plus_M7",1070
"L16B_plus_M7",1281
"V21_minus_M7",1349
"V34_minus_M7",2254
"L1C_minus_M7",1156
"L4C_minus_M7",1648
"L7C_minus_M7",2866
"L10C_plus_M7",1382
"L13C_plus_M7",3189
"L16C_plus_M7",1032
"V23_minus_M7",3875
"V35_minus_M7",4283
"L4D_minus_M7",3636
"L10D_plus_M7",1341
"L13D_plus_M7",5470
"L17A_plus_M7",6044
"L20A_minus_M7",5167
"L23A_minus_M7",6322
"L26A_plus_M7",2057
"L29A_plus_M7",1790
"L32A_plus_M7",2163
"L35A_minus_M7",2029
"L17B_plus_M7",1457
"L20B_minus_M7",2439
"L23B_minus_M7",1580
"L26B_plus_M7",4121
"L29B_plus_M7",1457
"L32B_plus_M7",1497
"L35B_minus_M7",1212
"L38C_minus_M7",1100
"L17C_plus_M7",1825
"L20C_minus_M7",1036
"L23C_minus_M7",3001
"L26C_plus_M7",3316
"L29C_plus_M7",4244
"L32C_plus_M7",3617
"L38D_minus_M7",1119
"L17D_plus_M7",6432
"L23D_minus_M7",4872
"L26D_plus_M7",2221
"L32D_plus_M7",1212
"L35D_minus_M7",1517
"L40A_plus_M7",1887
"L18A_plus_M7",1149
"L21A_minus_M7",1891
"L24A_minus_M7",6726
"L27A_plus_M7",1001
"L40B_plus_M7",1173
"L18B_plus_M7",3029
"L21B_minus_M7",1231
"L24B_minus_M7",2914
"L27B_plus_M7",2514
"L30B_plus_M7",1235
"L33B_minus_M7",1852
"L40C_plus_M7",1065
"L18C_plus_M7",6951
"L21C_minus_M7",6169
"L24C_minus_M7",6388
"L30C_plus_M7",8078
"L33C_minus_M7",2059
"L36D_minus_M7",1463
"L40D_plus_M7",1715
"L18D_plus_M7",6804
"L21D_minus_M7",3679
"L24D_minus_M7",4639
"L27D_plus_M7",1422
"L30D_plus_M7",1372
"L37A_minus_M7",3504
"L19A_minus_M7",2028
"L22A_minus_M7",5620
"L25A_plus_M7",1847
"L28A_plus_M7",4653
"L31A_plus_M7",1621
"L34A_minus_M7",1396
"L41B_plus_M7",1848
"L19B_minus_M7",1383
"L22B_minus_M7",2637
"L25B_plus_M7",3055
"L28B_plus_M7",1562
"L31B_plus_M7",2020
"L34B_minus_M7",2267
"L37C_minus_M7",3149
"L41C_plus_M7",1925
"L19C_minus_M7",7647
"L22C_minus_M7",5831
"L25C_plus_M7",1994
"L31C_plus_M7",3539
"L19D_minus_M7",3565
"L22D_minus_M7",8277
"L28D_plus_M7",1058
"L31D_plus_M7",5030
"L38A_minus_M7",1013
"L42B_plus_M7",2092
"V10_plus_M7",6442
"L16D_plus_M7",2096
"L42A_plus_M7",1085
"L43C_plus_M7",3678
"L44A_plus_M7",1971
"L44B_plus_M7",2548
"L44D_plus_M7",3798
